node_id,activation_time_ms
1405,175.9383
1406,143.5762
1407,164.7499
1408,172.6661
1409,160.9206
1410,143.9712
1411,148.1886
1412,161.9145
1413,168.9752
1414,152.0345
1415,152.5644
1416,149.9209
1417,174.2904
1418,163.0522
1419,139.3305
1420,158.3864
1421,161.9066
1422,149.6658
1423,153.8890
1424,164.4367
1425,148.4128
1426,164.0023
1427,151.0878
1428,168.0767
1429,167.8152
1430,171.4116
1431,163.8967
1432,146.2655
1433,161.9892
1434,149.2581
1435,140.6285
1436,149.9755
1437,146.2384
1438,149.6192
1439,158.0577
1440,154.9894
1441,159.6025
1442,151.4270
1443,168.0321
1444,144.7311
1445,176.1337
1446,153.7594
1447,151.7214
1448,163.3585
1449,168.3744
1450,163.5865
1451,149.3299
1452,164.1872
1453,175.6682
1454,152.7956
1455,177.0883
1456,164.3020
1457,160.4027
1458,147.1535
1459,170.0783
1460,163.8113
1461,156.6217
1462,151.5731
1463,149.2290
1464,143.5274
1465,171.6246
1466,153.7680
1467,146.3894
1468,158.4854
1469,172.7067
1470,146.8940
1471,148.2324
1472,157.9290
1473,166.9544
1474,148.1348
1475,156.2074
1476,151.6794
1477,149.7253
1478,152.9781
1479,166.9902
1480,165.2816
1481,153.0517
1482,143.4297
1483,146.9294
1484,167.1580
1485,158.3088
1486,172.5276
1487,170.4787
1488,152.4703
1489,173.5967
1490,155.5424
1491,161.3339
1492,151.9950
1493,145.2425
1494,157.6941
1495,146.1661
1496,147.3595
1497,172.3541
1498,159.7312
1499,155.9198
1500,144.1708
1501,153.2227
1502,143.9900
1503,146.2949
1504,157.1326
1505,166.5644
1506,153.9661
1507,156.0512
1508,162.0795
1509,151.0921
1510,154.0650
1511,148.4742
1512,146.8778
1513,170.8397
1514,166.7701
1515,164.9511
1516,163.8852
1517,151.4945
1518,170.5925
1519,156.0419
1520,159.2533
1521,156.8507
1522,167.4804
1523,165.9364
1524,178.4707
1525,173.2655
1526,137.6135
1527,164.5009
1528,145.8993
1529,165.6442
1530,172.2314
1531,136.0555
1532,143.3164
1533,160.8122
1534,171.0868
1535,131.1445
1536,148.7460
1537,140.3114
1538,156.5744
1539,159.5707
1540,174.1793
1541,157.0949
1542,169.1234
1543,168.3435
1544,138.6189
1545,166.6000
1546,134.8420
1547,165.6490
1548,161.1687
1549,158.7419
1550,161.3917
1551,168.9789
1552,173.0236
1553,170.5072
1554,156.0367
1555,158.1473
1556,142.6907
1557,157.6383
1558,171.4055
1559,152.3835
1560,169.9903
1561,145.6151
1562,168.9491
1563,175.5522
1564,135.8147
1565,147.9406
1566,157.4174
1567,160.9373
1568,153.9321
1569,141.2462
1570,150.0661
1571,167.5622
1572,154.6649
1573,139.9147
1574,149.4108
1575,155.7051
1576,153.4653
1577,172.0570
1578,147.7169
1579,145.7603
1580,143.5772
1581,151.3358
1582,144.5216
1583,152.2115
1584,160.8136
1585,154.5038
1586,168.6293
1587,173.3815
1588,175.1041
1589,175.5444
1590,153.3132
1591,141.0402
1592,155.7274
1593,166.8124
1594,172.3150
1595,167.0706
1596,147.8455
1597,146.0898
1598,177.9020
1599,159.8051
1600,159.4929
1601,162.6387
1602,167.2773
1603,140.6559
1604,159.5586
1605,146.8448
1606,141.6059
1607,147.5991
1608,161.0975
1609,161.7589
1610,157.2319
1611,165.2136
1612,158.6242
1613,148.5214
1614,161.5108
1615,160.4459
1616,140.9187
1617,162.1499
1618,171.5926
1619,172.6694
1620,174.7927
1621,172.3054
1622,172.3744
1623,171.4358
1624,159.1806
1625,155.0897
1626,152.3519
1627,154.1154
1628,172.8754
1629,150.2835
1630,150.0100
1631,172.1192
1632,177.2051
1633,161.8337
1634,152.2328
1635,132.8085
1636,168.9860
1637,150.3500
1638,137.8126
1639,166.2451
1640,172.1896
1641,163.7365
1642,171.2434
1643,152.9508
1644,154.1542
1645,154.8854
1646,162.4211
1647,162.3772
1648,171.3878
1649,166.8037
1650,144.6318
1651,146.4978
1652,151.3412
1653,152.6445
1654,157.0042
1655,145.8752
1656,173.8136
1657,168.2131
1658,146.6413
1659,159.0431
1660,155.2801
1661,170.1805
1662,138.9121
1663,145.1546
1664,167.6176
1665,142.3374
1666,162.7359
1667,140.6328
1668,154.5535
1669,160.7404
1670,175.2908
1671,141.0941
1672,162.4309
1673,146.4316
1674,142.6127
1675,150.8047
1676,161.9992
1677,166.0630
1678,162.1842
1679,172.4754
1680,141.3877
1681,170.9851
1682,156.7629
1683,163.7485
1684,145.3550
1685,158.0701
1686,156.3166
1687,139.4306
1688,155.9813
1689,142.4909
1690,153.6438
1691,154.3794
1692,141.1120
1693,152.7703
1694,166.7368
1695,166.9852
1696,167.3646
1697,150.3521
1698,154.6621
1699,156.0603
1700,156.4211
1701,150.3965
1702,138.3226
1703,153.5929
1704,168.3791
1705,151.5874
1706,159.2287
1707,135.7341
1708,157.6687
1709,167.2866
1710,153.1409
1711,159.5468
1712,146.6692
1713,169.3226
1714,174.9476
1715,164.9325
1716,148.2668
1717,147.2112
1718,157.5087
